 39	  11.01.2020	  00:25:48	    temperatur	  25.100000381469727	    feuchtigkeit	  44.599998474121094	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 40	  11.01.2020	  00:26:49	    temperatur	  25.100000381469727	    feuchtigkeit	  44.599998474121094	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 41	  11.01.2020	  00:27:49	    temperatur	  25.100000381469727	    feuchtigkeit	  44.599998474121094	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 42	  11.01.2020	  00:28:50	    temperatur	  25.100000381469727	    feuchtigkeit	  44.599998474121094	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 43	  11.01.2020	  00:29:51	    temperatur	  25.100000381469727	    feuchtigkeit	  44.599998474121094	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 44	  11.01.2020	  00:30:51	    temperatur	  25.100000381469727	    feuchtigkeit	  44.70000076293945	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 45	  11.01.2020	  00:31:52	    temperatur	  25.100000381469727	    feuchtigkeit	  44.70000076293945	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 46	  11.01.2020	  00:32:52	    temperatur	  25.100000381469727	    feuchtigkeit	  44.70000076293945	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 47	  11.01.2020	  00:33:53	    temperatur	  25.100000381469727	    feuchtigkeit	  44.70000076293945	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 48	  11.01.2020	  00:34:53	    temperatur	  25.100000381469727	    feuchtigkeit	  44.79999923706055	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 49	  11.01.2020	  00:35:54	    temperatur	  25.0	    feuchtigkeit	  44.70000076293945	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 50	  11.01.2020	  00:36:55	    temperatur	  25.100000381469727	    feuchtigkeit	  44.79999923706055	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 51	  11.01.2020	  00:37:55	    temperatur	  25.100000381469727	    feuchtigkeit	  44.79999923706055	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 52	  11.01.2020	  00:38:56	    temperatur	  25.0	    feuchtigkeit	  44.79999923706055	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 53	  11.01.2020	  00:39:56	    temperatur	  25.0	    feuchtigkeit	  44.79999923706055	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 54	  11.01.2020	  00:40:57	    temperatur	  25.0	    feuchtigkeit	  44.79999923706055	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 55	  11.01.2020	  00:41:57	    temperatur	  25.0	    feuchtigkeit	  44.900001525878906	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 56	  11.01.2020	  00:42:58	    temperatur	  25.0	    feuchtigkeit	  44.900001525878906	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 57	  11.01.2020	  00:43:59	    temperatur	  25.0	    feuchtigkeit	  44.79999923706055	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 58	  11.01.2020	  00:44:59	    temperatur	  25.0	    feuchtigkeit	  44.79999923706055	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 59	  11.01.2020	  00:46:00	    temperatur	  25.0	    feuchtigkeit	  44.79999923706055	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 60	  11.01.2020	  00:47:00	    temperatur	  25.0	    feuchtigkeit	  44.79999923706055	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 61	  11.01.2020	  00:48:01	    temperatur	  25.0	    feuchtigkeit	  44.70000076293945	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 62	  11.01.2020	  00:49:02	    temperatur	  25.0	    feuchtigkeit	  44.79999923706055	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 63	  11.01.2020	  00:50:02	    temperatur	  25.0	    feuchtigkeit	  44.79999923706055	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 64	  11.01.2020	  00:51:03	    temperatur	  25.0	    feuchtigkeit	  44.900001525878906	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 65	  11.01.2020	  00:52:03	    temperatur	  25.0	    feuchtigkeit	  44.900001525878906	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 66	  11.01.2020	  00:53:04	    temperatur	  25.0	    feuchtigkeit	  44.79999923706055	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 67	  11.01.2020	  00:54:04	    temperatur	  24.899999618530273	    feuchtigkeit	  44.599998474121094	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 68	  11.01.2020	  00:55:05	    temperatur	  25.0	    feuchtigkeit	  44.70000076293945	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 69	  11.01.2020	  00:56:06	    temperatur	  24.899999618530273	    feuchtigkeit	  44.79999923706055	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 70	  11.01.2020	  00:57:06	    temperatur	  24.899999618530273	    feuchtigkeit	  44.79999923706055	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 71	  11.01.2020	  00:58:07	    temperatur	  24.899999618530273	    feuchtigkeit	  44.29999923706055	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 72	  11.01.2020	  00:59:07	    temperatur	  24.899999618530273	    feuchtigkeit	  44.70000076293945	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 73	  11.01.2020	  01:00:08	    temperatur	  24.899999618530273	    feuchtigkeit	  44.5	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 74	  11.01.2020	  01:01:08	    temperatur	  24.899999618530273	    feuchtigkeit	  44.70000076293945	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 75	  11.01.2020	  01:02:09	    temperatur	  24.899999618530273	    feuchtigkeit	  44.79999923706055	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 76	  11.01.2020	  01:03:12	    temperatur	  24.899999618530273	    feuchtigkeit	  44.70000076293945	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 77	  11.01.2020	  01:04:13	    temperatur	  24.899999618530273	    feuchtigkeit	  44.70000076293945	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 78	  11.01.2020	  01:05:13	    temperatur	  24.899999618530273	    feuchtigkeit	  44.400001525878906	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 79	  11.01.2020	  01:06:14	    temperatur	  24.899999618530273	    feuchtigkeit	  44.599998474121094	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 80	  11.01.2020	  01:07:14	    temperatur	  24.899999618530273	    feuchtigkeit	  44.79999923706055	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 81	  11.01.2020	  01:08:15	    temperatur	  24.799999237060547	    feuchtigkeit	  44.5	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 82	  11.01.2020	  01:09:16	    temperatur	  24.799999237060547	    feuchtigkeit	  44.70000076293945	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 83	  11.01.2020	  01:10:16	    temperatur	  24.799999237060547	    feuchtigkeit	  44.70000076293945	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 84	  11.01.2020	  01:11:17	    temperatur	  24.799999237060547	    feuchtigkeit	  44.70000076293945	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
